,DATE,RIDE,ALIGHT
364,20191231,7704492.0,7680078.0
365,20200101,3479698.0,3453691.0
366,20200102,7691529.0,7666539.0
367,20200103,8224917.0,8199047.0
368,20200104,6042529.0,6012872.0
369,20200105,4425521.0,4399481.0
370,20200106,7819416.0,7793536.0
371,20200107,7624873.0,7598869.0
372,20200108,7995810.0,7969012.0
373,20200109,8123002.0,8092976.0
374,20200110,8464744.0,8436636.0
375,20200111,6451540.0,6418817.0
376,20200112,4619399.0,4588998.0
377,20200113,7931538.0,7904467.0
378,20200114,8051486.0,8023067.0
379,20200115,8124059.0,8094788.0
380,20200116,8141415.0,8112635.0
381,20200117,8492225.0,8464605.0
382,20200118,6400595.0,6371044.0
383,20200119,4533571.0,4506694.0
384,20200120,8023369.0,7995924.0
385,20200121,8063435.0,8035456.0
386,20200122,8058478.0,8031884.0
387,20200123,7641489.0,7617612.0
388,20200124,3266041.0,3249207.0
389,20200125,2815670.0,2796973.0
390,20200126,3654653.0,3632918.0
391,20200127,3775047.0,3754829.0
392,20200128,7120843.0,7097891.0
393,20200129,7515756.0,7492386.0
394,20200130,7529076.0,7505197.0
395,20200131,7641869.0,7621003.0
396,20200201,4911125.0,4891594.0
397,20200202,3512904.0,3493943.0
398,20200203,7007625.0,6986718.0
399,20200204,7082056.0,7059649.0
400,20200205,6902894.0,6882234.0
401,20200206,6821778.0,6800755.0
402,20200207,7191742.0,7173342.0
403,20200208,4690115.0,4670830.0
404,20200209,3451571.0,3432956.0
405,20200210,6966442.0,6945699.0
406,20200211,7192604.0,7172004.0
407,20200212,6981076.0,6962555.0
408,20200213,7311679.0,7291686.0
409,20200214,7720695.0,7701337.0
410,20200215,5277149.0,5256674.0
411,20200216,3674194.0,3654696.0
412,20200217,7197144.0,7177785.0
413,20200218,7205498.0,7185525.0
414,20200219,7306690.0,7286511.0
415,20200220,7168504.0,7148661.0
416,20200221,7038538.0,7019767.0
417,20200222,4153989.0,4137759.0
418,20200223,2743837.0,2729844.0
419,20200224,5932806.0,5917541.0
420,20200225,5441771.0,5427894.0
421,20200226,5452346.0,5438655.0
422,20200227,5286459.0,5274656.0
